one,two,three,four,five,six,seven,eight
4,8,9,10,12,17,24,27
4,8,9,10,12,17,24,31
4,8,9,10,12,17,27,33
4,8,9,10,12,17,31,33
4,8,9,10,16,17,24,27
4,8,9,10,16,17,24,31
4,8,9,10,16,17,27,33
4,8,9,10,16,17,31,33
4,8,9,10,17,24,27,33
4,8,9,10,17,24,31,33
4,8,10,11,12,15,16,27
4,8,10,11,12,15,16,31
4,8,10,11,12,15,24,27
4,8,10,11,12,15,24,31
4,8,10,11,12,15,27,33
4,8,10,11,12,15,31,33
4,8,10,11,12,16,21,27
4,8,10,11,12,16,21,31
4,8,10,11,12,16,23,27
4,8,10,11,12,16,23,31
4,8,10,11,12,16,27,30
4,8,10,11,12,16,30,31
4,8,10,11,12,21,24,27
4,8,10,11,12,21,24,31
4,8,10,11,12,21,27,33
4,8,10,11,12,21,31,33
4,8,10,11,12,23,24,27
4,8,10,11,12,23,24,31
4,8,10,11,12,23,27,33
4,8,10,11,12,23,31,33
4,8,10,11,12,24,27,30
4,8,10,11,12,24,30,31
4,8,10,11,12,27,30,33
4,8,10,11,12,30,31,33
4,8,10,11,15,16,24,27
4,8,10,11,15,16,24,31
4,8,10,11,15,16,27,33
4,8,10,11,15,16,31,33
4,8,10,11,15,24,27,33
4,8,10,11,15,24,31,33
4,8,10,11,16,21,24,27
4,8,10,11,16,21,24,31
4,8,10,11,16,21,27,33
4,8,10,11,16,21,31,33
4,8,10,11,16,23,24,27
4,8,10,11,16,23,24,31
4,8,10,11,16,23,27,33
4,8,10,11,16,23,31,33
4,8,10,11,16,24,27,30
4,8,10,11,16,24,30,31
4,8,10,11,16,27,30,33
4,8,10,11,16,30,31,33
4,8,10,11,21,24,27,33
4,8,10,11,21,24,31,33
4,8,10,11,23,24,27,33
4,8,10,11,23,24,31,33
4,8,10,11,24,27,30,33
4,8,10,11,24,30,31,33
4,8,10,12,15,16,17,27
4,8,10,12,15,16,17,31
4,8,10,12,15,17,24,27
4,8,10,12,15,17,24,31
4,8,10,12,15,17,27,33
4,8,10,12,15,17,31,33
4,8,10,12,16,17,21,27
4,8,10,12,16,17,21,31
4,8,10,12,16,17,23,27
4,8,10,12,16,17,23,31
4,8,10,12,16,17,27,30
4,8,10,12,16,17,30,31
4,8,10,12,17,21,24,27
